username,user_id,role_cd,time_zone,location_cd,country_cd
1002DCain,1667535,ASSOCIATE,America/Toronto,1002,CA
nithin1070,1821166,ASSOCIATE,America/Toronto,1070,CA
5335SarbjotK,1700353,SHIFT_LDR,America/Vancouver,1095,CA
0226CElliot,1738908,ASSOCIATE,America/Toronto,1104,CA
1129ldesbiens,1735149,ASSOCIATE,America/Montreal,1129,CA
1138MImbeault,1642652,ASSOCIATE,America/Moncton,1138,CA
1172JDupel,1772403,ASSOCIATE,America/Toronto,1172,CA
MeganM1197,1771903,ASSOCIATE,America/Halifax,1197,CA
1206mohsin,1808222,ASSOCIATE,America/Toronto,1206,CA
1231HChokshi,1787582,ASSOCIATE,America/Toronto,1231,CA
1236Gill,1743182,ASSOCIATE,America/Halifax,1236,CA
2315JBoccia,1191099,ASSOCIATE,America/Toronto,1261,CA
1304Vanessa,1752522,ASSOCIATE,America/Toronto,1304,CA
1338GS,138200,ASSOCIATE,America/Montreal,1338,CA
4910RTuason,1272300,SHIFT_LDR,America/Regina,1372,CA
1397jsingh,1760250,ASSOCIATE,America/Edmonton,1397,CA
1431LKAUR,1644896,ASSOCIATE,America/Toronto,1431,CA
1440RRajora,1722740,ASSOCIATE,America/Toronto,1440,CA
1006SEdwards,127515,ASSOCIATE,America/Toronto,1470,CA
0941APetrovski,1402988,ASSOCIATE,America/Toronto,1495,CA
1504Hailee,1721426,ASSOCIATE,America/Toronto,1504,CA
1538LChamberlain,242965,ASSOCIATE,America/Moncton,1538,CA
1563mpotterton,1622451,ASSOCIATE,America/Toronto,1563,CA
1572jsantos,1517498,ASSOCIATE,America/Edmonton,1572,CA
Timhortons1,1650880,ASSOCIATE,America/Toronto,1597,CA
1631Selena,1757200,ASSOCIATE,America/Moncton,1631,CA
1640Smarshall,1534653,ASSOCIATE,America/St_Johns,1640,CA
1665husmani,1517857,ASSOCIATE,America/Edmonton,1665,CA
1674SKaur,1809900,ASSOCIATE,America/Toronto,1674,CA
1699WGray,1321320,ASSOCIATE,America/Toronto,1699,CA
1704rbuenavides,1791400,ASSOCIATE,America/Toronto,1704,CA
1763SAhmed,187598,ASSOCIATE,America/Toronto,1763,CA
1772tnickerson,1513791,ASSOCIATE,America/Halifax,1772,CA
1797Knavjot,1719810,ASSOCIATE,America/Toronto,1797,CA
1806Kevin,1730266,SHIFT_LDR,America/Toronto,1806,CA
1840MDRAHORAT,1466767,ASSOCIATE,America/Toronto,1840,CA
1865ccrampsie,1807747,ASSOCIATE,America/Toronto,1865,CA
1874lbrown,1556071,SHIFT_LDR,America/Toronto,1874,CA
1899isingh,1754056,ASSOCIATE,America/Toronto,1899,CA
1908archsana,1802117,ASSOCIATE,America/Toronto,1908,CA
0011EObyrne,194414,ASSISTANT_MGR,America/Toronto,11,CA
0018MAhmed,1753924,ASSOCIATE,America/Toronto,18,CA
0041ABalcom,143890,MUM,America/Halifax,41,CA
75Mccabe,1705542,ASSOCIATE,America/Toronto,75,CA
0077Ashtyn,1797663,ASSOCIATE,America/Halifax,77,CA
0118BAquino,291970,ASSOCIATE,America/Winnipeg,118,CA
120SBoddu,1805647,ASSOCIATE,America/Toronto,120,CA
0175bbergeron,1551299,ASSOCIATE,America/Montreal,175,CA
0177JHanson,1820268,ASSOCIATE,America/Toronto,177,CA
0184AKaur,1620025,ASSOCIATE,America/Toronto,184,CA
211GKaur,1768657,SHIFT_LDR,America/Toronto,211,CA
Lesly218,1668121,ASSOCIATE,America/Montreal,218,CA
275RReddigan,1766601,ASSOCIATE,America/St_Johns,275,CA
janniechase,1547070,ASSOCIATE,America/Halifax,277,CA
0284mkaur,1737900,ASSOCIATE,America/Vancouver,284,CA
0311DKAUR,1550716,ASSOCIATE,America/Vancouver,311,CA
0320scayanan,1702135,ASSOCIATE,America/Edmonton,320,CA
annabellefiset,1679766,ASSOCIATE,America/Montreal,354,CA
0377cfrancis,1775225,ASSOCIATE,America/Halifax,377,CA
0418bbellaashe,1706070,ASSOCIATE,America/Halifax,418,CA
0420crobar,1753306,ASSOCIATE,America/Halifax,420,CA
JeanFrancois2988,281987,ASSOCIATE,America/Montreal,454,CA
0477CMclean,171048,ASSOCIATE,America/Halifax,477,CA
0484HT,146920,REST_MGR,America/Toronto,484,CA
claudealexandreguimont511,1771011,ASSOCIATE,America/Montreal,511,CA
0518HAhmad,1642185,ASSOCIATE,America/Toronto,518,CA
0520Tayyaba,1754515,ASSOCIATE,America/Toronto,520,CA
577SArora,1695314,SHIFT_LDR,America/Toronto,577,CA
0584msingh,1798109,ASSOCIATE,America/Toronto,584,CA
0611SGallagher,1615713,ASSOCIATE,America/Toronto,611,CA
2068manjotk,1753765,SHIFT_LDR,America/Halifax,613,CA
0654krishaflor,1657997,ASSOCIATE,America/Edmonton,654,CA
marcantoinebelleau,1772010,ASSOCIATE,America/Montreal,677,CA
711manohar,1669961,ASSOCIATE,America/Toronto,711,CA
0718BTaylor,1821733,ASSOCIATE,America/Halifax,718,CA
0754Jsidhu,1563998,ASSOCIATE,America/Toronto,754,CA
0777llisancho,1709824,ASSOCIATE,America/Toronto,777,CA
4282Armaghan,25063,SHIFT_LDR,America/Toronto,811,CA
sanaa0813,1624141,ASSOCIATE,America/Toronto,813,CA
0818ankur,1662552,ASSOCIATE,America/Toronto,818,CA
0820tharsha,1654208,ASSOCIATE,America/Toronto,820,CA
0847cbrown,1635422,ASSOCIATE,America/Vancouver,847,CA
hmasters854,1768970,ASSOCIATE,America/Halifax,854,CA
119cgodsoe,1697314,ASSOCIATE,America/Moncton,877,CA
0911alachance,1089530,REST_MGR,America/Toronto,911,CA
0913AmarjeetSingh,1717933,ASSOCIATE,America/Toronto,913,CA
2471MPERRO,122381,ASSOCIATE,America/Edmonton,947,CA
123sparker,1177575,ASSOCIATE,America/Toronto,954,CA
1013RFex,1805763,ASSOCIATE,America/Montreal,1013,CA
1054akaur,1518296,ASSOCIATE,America/Edmonton,1054,CA
1113chayne,1553285,ASSOCIATE,America/Edmonton,1113,CA
bankshunter,1655416,ASSOCIATE,America/Edmonton,1120,CA
1147hgreen,1772748,ASSOCIATE,America/Toronto,1147,CA
041djackson,1577883,ASSOCIATE,America/Halifax,1154,CA
6271chaterine,1541660,SHIFT_LDR,America/Regina,1156,CA
1298JGauvin,101791,REST_MGR,America/Toronto,1211,CA
SomJas,1535813,SHIFT_LDR,America/Toronto,1213,CA
1247vpepin,1791799,ASSOCIATE,America/Montreal,1247,CA
lois1254,1472462,ASSOCIATE,America/Montreal,1254,CA
1256tony,1627512,ASSOCIATE,America/Montreal,1256,CA
1290PMyrtle,1090886,ASSOCIATE,America/Toronto,1290,CA
1311HMinhas,1336561,REST_MGR,America/Vancouver,1311,CA
2209kmoreash,18298,SHIFT_LDR,America/Toronto,1320,CA
0335rpatel,1635377,SHIFT_LDR,America/Toronto,1390,CA
1522frahman,1735441,SHIFT_LDR,America/St_Johns,1447,CA
Debbie4769,1603521,ASSOCIATE,America/Toronto,1454,CA
0570sgregoire,1305097,SHIFT_LDR,America/Toronto,1456,CA
1490jgarcia,1569011,ASSOCIATE,America/Edmonton,1490,CA
1520BTanton,129490,ASSOCIATE,America/Toronto,1520,CA
1549rbanfield,1707603,ASSOCIATE,America/Toronto,1549,CA
1319DYoung,151149,REST_MGR,America/Moncton,1554,CA
1556THilton,1701000,ASSOCIATE,America/Toronto,1556,CA
1590ksindhu,160702,ASSISTANT_MGR,America/Toronto,1590,CA
1613Hamna,1823199,ASSOCIATE,America/Toronto,1613,CA
1647Pooja,1701622,ASSOCIATE,America/Toronto,1647,CA
brandondelosreyes,1591368,ASSOCIATE,America/Toronto,1649,CA
0461mtaylor,1646339,ASSOCIATE,America/Halifax,1654,CA
1690Corbin,1706941,ASSOCIATE,America/Toronto,1690,CA
1713Arshdeep,1722989,SHIFT_LDR,America/Toronto,1713,CA
Rupinderg1747,1768409,SHIFT_LDR,America/Edmonton,1747,CA
1749NDupont,1727705,ASSOCIATE,America/Toronto,1749,CA
1754Jeeva,1760791,ASSOCIATE,America/Toronto,1754,CA
1756tnirmal,1645570,SHIFT_LDR,America/Winnipeg,1756,CA
1783SBrennan,1781413,ASSOCIATE,America/Toronto,1783,CA
1790MDellaire,1699343,ASSOCIATE,America/Toronto,1790,CA
3702KSmith,1062838,SHIFT_LDR,America/Toronto,15,CA
0030Sandhu,1775877,ASSOCIATE,America/Toronto,30,CA
0065NMitton,100913,REST_MGR,America/Halifax,65,CA
0079RJennings,1646709,ASSOCIATE,America/St_Johns,79,CA
0115MCaumanns,101215,REST_MGR,America/Vancouver,115,CA
HerrikModi,1776611,ASSOCIATE,America/Toronto,116,CA
