Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/MicroStrategyLibrary/plugins/VitaraHCBarChartLibrary/javascript/mojo/js/source/VitaraHCBarChartLibrary.js,1,36,36,36,0.00,100.000%,27.77778,39.96,0.00,1473.0
/MicroStrategyLibrary/javascript/mojo/js/source/vi/models/CustomVisDropZones.js,1,31,31,31,0.00,100.000%,32.25806,46.40,0.00,1473.0
/MicroStrategyLibrary/javascript/mojo/js/source/CustomVisBase.js,1,30,30,30,0.00,100.000%,33.33333,47.95,0.00,1473.0
/MicroStrategyLibrary/javascript/mojo/js/source/_colorPalette.js,1,33,33,33,0.00,100.000%,30.30303,43.59,0.00,1473.0
/MicroStrategyLibrary/javascript/mojo/js/source/CustomVisUtility.js,1,21,21,21,0.00,100.000%,47.61905,68.50,0.00,1473.0
/MicroStrategyLibrary/javascript/mojo/js/source/_HasSelector.js,1,28,28,28,0.00,100.000%,35.71429,51.37,0.00,1473.0
/MicroStrategyLibrary/plugins/VitaraHCBarChartLibrary/javascript/mojo/js/source/MobileServerUrl.js,1,29,29,29,0.00,100.000%,34.48276,49.60,0.00,1473.0
/MicroStrategyLibrary/javascript/mojo/css/vi/images/target_selector.svg,1,23,23,23,0.00,100.000%,43.47826,62.54,0.00,1473.0
/MicroStrategyLibrary/app/DABF2C3A40D831A93EFB56A58A958B45/javascript/mojo/css/images/1ptrans.gif,1,30,30,30,0.00,100.000%,33.33333,47.95,0.00,1473.0
/MicroStrategyLibrary/app/DABF2C3A40D831A93EFB56A58A958B45/E5BEE86C495EED4189E50B90D41C770A/diskFile,1,35,35,35,0.00,100.000%,28.57143,41.10,0.00,1473.0
/MicroStrategyLibrary/api/dossier/E5BEE86C495EED4189E50B90D41C770A/images/B0A5366145AB16D1B5FF35898B1B3A65,1,29,29,29,0.00,100.000%,34.48276,49.60,0.00,1473.0
TOTAL,126,76,21,2084,197.77,30.952%,11.76361,861.42,0.15,74985.2
