username,user_id,role_cd,time_zone,location_cd,country_cd
CFoshaug,1407408,MUM,America/Edmonton,6102,CA
6159fkalouche,1416400,MUM,America/Montreal,6159,CA
6161rnahed,1416403,MUM,America/Montreal,6161,CA
6166nsingh,1521092,ASSOCIATE,America/Edmonton,6166,CA
6168ahemanth,1517475,ASSOCIATE,America/Vancouver,6168,CA
6195JWilson,1612666,ASSOCIATE,America/Vancouver,6195,CA
6225fpacheco,1802877,ASSOCIATE,America/Vancouver,6225,CA
Jude6261,1702538,ASSISTANT_MGR,America/Edmonton,6261,CA
Audrey6295,1726352,REST_MGR,America/Montreal,6295,CA
campbell6302,1640949,ASSOCIATE,America/Toronto,6302,CA
Peggy,1793378,ASSOCIATE,America/Montreal,6325,CA
northgrace,1687120,ASSOCIATE,America/Toronto,6368,CA
3186MDavis,1074515,ASSOCIATE,America/Toronto,6395,CA
50EglintonINS,1444381,MUM,America/Toronto,6468,CA
TaniaMcdonald,1640731,ASSOCIATE,America/Toronto,6495,CA
Meyerangelada,1665911,ASSOCIATE,America/Edmonton,6559,CA
6868michelle,1713023,ASSOCIATE,America/Vancouver,6868,CA
6897nickgutknecht,1662273,ASSISTANT_MGR,America/Winnipeg,6897,CA
6904nbounket,1713328,ASSOCIATE,America/Toronto,6904,CA
Desarae,1499737,ASSOCIATE,America/Toronto,6995,CA
7261ASimbulan,1625273,ASSOCIATE,America/Edmonton,7261,CA
7331ksandhu,1784479,ASSOCIATE,America/Vancouver,7331,CA
7438nalnila,1535525,ASSOCIATE,America/Toronto,7438,CA
0735NCorbin2,181797,ASSOCIATE,America/Moncton,7540,CA
7597cmartin,1775897,ASSOCIATE,America/Montreal,7597,CA
6292glenda,1504716,ASSOCIATE,America/Toronto,7640,CA
pemrin,1546459,ASSOCIATE,Asia/Muscat,4873,OM
manpil,1584115,REST_MGR,Asia/Dubai,5486,AE
antdav,1382843,ASSISTANT_MGR,Asia/Dubai,6143,AE
mahyus,1685337,ASSOCIATE,Asia/Riyadh,7024,SA
7447Mmuncaster,1687088,ASSOCIATE,America/Toronto,7447,CA
7490CCRONIER,1798104,ASSOCIATE,America/Montreal,7490,CA
coralie111,1486803,ASSISTANT_MGR,America/Montreal,7579,CA
shawn.anderson,1616406,MUM,America/Halifax,7690,CA
8456Supinder,1730246,SHIFT_LDR,America/Toronto,8456,CA
sumpar,1466697,ASSOCIATE,Asia/Dubai,4734,AE
brialm,1444274,REST_MGR,Asia/Dubai,4789,AE
ahmelk,1466472,ASSOCIATE,Asia/Dubai,4793,AE
rolola,1167883,ASSOCIATE,Asia/Qatar,5491,QA
lekdam,1535497,ASSOCIATE,Asia/Dubai,6129,AE
berbau,1519292,ASSOCIATE,Asia/Riyadh,6797,SA
mohezz,1460326,ASSOCIATE,Asia/Riyadh,6806,SA
ramadh,1174154,REST_MGR,Asia/Dubai,6831,AE
subnep,1461554,ASSOCIATE,Asia/Riyadh,7031,SA
ricmad,1467016,ASSOCIATE,Asia/Qatar,7801,QA
evaldez,1531719,ASSOCIATE,Asia/Manila,7806,PH
10724KStyne,1804492,ASSOCIATE,America/New_York,10724,US
14183JRegis,1383626,SHIFT_LDR,America/New_York,10856,US
10881nia,1813735,ASSOCIATE,America/Detroit,10881,US
11041TFaulds,1574728,SHIFT_LDR,America/New_York,10958,US
11017mholloway,1813659,ASSOCIATE,America/Detroit,11017,US
mnieves,1101586,SHIFT_LDR,America/Detroit,11022,US
Macey11056,1771030,ASSOCIATE,America/New_York,11056,US
11081DShishkina,1683855,ASSOCIATE,America/New_York,11081,US
11115ZMUNI,1748590,ASSOCIATE,America/New_York,11115,US
buenaventurac,1720119,ASSOCIATE,America/Detroit,11124,US
Drew1149,1791713,ASSOCIATE,America/New_York,11149,US
ShayG3796,1685613,ASSOCIATE,America/Detroit,3796,US
Mirna4293,1775162,ASSOCIATE,America/Detroit,4293,US
5430kbates,1569165,SHIFT_LDR,America/Detroit,4693,US
teesha4757,1817208,ASSOCIATE,America/New_York,4757,US
kubickisusan,1567402,ASSOCIATE,America/Detroit,4859,US
4927DWRIGHT,1801780,ASSOCIATE,America/New_York,4927,US
Mohammedy4991,1573539,ASSOCIATE,America/Detroit,4991,US
4209feven,1780206,ASSOCIATE,America/New_York,4995,US
5136AJones,1457085,ASSOCIATE,America/Detroit,5136,US
5161NCLAUSE,1789690,ASSOCIATE,America/New_York,5161,US
Pjariwala,1610805,ASSOCIATE,America/Detroit,5370,US
SHARITALEE,1257418,ASSOCIATE,America/New_York,5629,US
5638CKRETZER,1156915,ASSOCIATE,America/New_York,5638,US
5663Sara,1804061,ASSOCIATE,America/Detroit,5663,US
5668AClark,1463909,ASSOCIATE,America/Detroit,5668,US
Marcellus5693,1628749,ASSOCIATE,America/Detroit,5693,US
09386MHijazin,1775606,ASSOCIATE,America/New_York,5702,US
Toddrodgers,1533879,ASSOCIATE,America/New_York,5727,US
alyssajones,1727595,ASSOCIATE,America/New_York,5872,US
rogalskid,1456777,ASSOCIATE,America/Detroit,7476,US
7501RMASSA,1661763,ASSOCIATE,America/Detroit,7501,US
mdcebuma201813,1629867,ASSOCIATE,Asia/Manila,7808,PH
08671JPlueckhahn,1669290,ASSOCIATE,America/New_York,8671,US
8676STUMP,1721224,ASSOCIATE,America/Detroit,8676,US
Abigail8915,1616252,ASSOCIATE,America/New_York,8914,US
9012Alexander,1788234,ASSOCIATE,America/New_York,9012,US
09305TLABEND,1610493,ASSOCIATE,America/New_York,9305,US
9339dominic,1765145,ASSOCIATE,America/New_York,9339,US
9348DeniseMiller,1374791,ASSOCIATE,America/New_York,9348,US
9373NCoffey,1815530,ASSOCIATE,America/New_York,9373,US
kmcgloon,1687323,ASSOCIATE,America/New_York,9382,US
8092AdityaK,1784704,ASSOCIATE,America/Vancouver,8092,CA
7607schambers,1703709,ASSOCIATE,America/Toronto,7607,CA
mohtaw,1460318,REST_MGR,Asia/Riyadh,7053,SA
07491AFITZSIMMONS,1605245,ASSOCIATE,America/New_York,7199,US
7361bgray,1809381,ASSOCIATE,America/New_York,7361,US
shelby6595,1723679,ASSOCIATE,America/Detroit,6595,US
8480inderveer,1795616,ASSOCIATE,America/Toronto,8480,CA
3903ilamarche,1612515,ASSOCIATE,America/Montreal,8418,CA
6998Azeb,1804444,ASSOCIATE,America/Edmonton,6998,CA
8373aenriquez,1664112,ASSOCIATE,America/Regina,8373,CA
7606ASt-Jacques,1799193,ASSOCIATE,America/Montreal,7606,CA
5866dsaffin,1604961,REST_MGR,America/Vancouver,8114,CA
8378Linda,1797937,ASSOCIATE,America/Toronto,8378,CA
KAILAS,1608794,SHIFT_LDR,America/Detroit,7938,US
a.w.rbi,1818170,REST_MGR,America/Toronto,-100,CA
HAyoub,1617825,SHIFT_LDR,America/Toronto,8968,CA
4203alitoski,1340012,SHIFT_LDR,America/Vancouver,6464,CA
99today,1755522,ASSOCIATE,America/Toronto,-102,CA
8430navkiran,1766185,ASSOCIATE,America/Vancouver,8430,CA
3427SDesai,1473656,ASSOCIATE,America/Toronto,5912,CA
8134WMcNeilly,1816913,ASSOCIATE,America/Toronto,8134,CA
3923khorner,1479941,SHIFT_LDR,America/Vancouver,6987,CA
9366GMiguel,1815483,ASSOCIATE,America/Toronto,9366,CA
yasshai,1385042,SHIFT_LDR,Asia/Dubai,6799,AE
jongye,1659953,ASSOCIATE,Asia/Dubai,6817,AE
melpuy,1467059,ASSOCIATE,Asia/Qatar,7003,QA
ahmell,1685341,ASSOCIATE,Asia/Riyadh,7736,SA
sadhus,1549208,ASSOCIATE,Asia/Qatar,7803,QA
jakiras,1567968,ASSOCIATE,America/New_York,10734,US
10769sroeth,1751741,ASSOCIATE,America/Detroit,10769,US
BrianHolmes,1617779,ASSOCIATE,America/New_York,10884,US
Kim10887,1780365,ASSOCIATE,America/New_York,10887,US
11002RPennock,1510574,ASSOCIATE,America/New_York,11002,US
Ecamacho,1764792,ASSOCIATE,America/Detroit,11019,US
11020cbailey,1656255,ASSOCIATE,America/Detroit,11020,US
11037missy,1792386,SHIFT_LDR,America/New_York,11037,US
gaczewski1056,1668265,ASSOCIATE,America/New_York,11070,US
11152Pleverentz,1799938,ASSOCIATE,America/New_York,11152,US
2542dbrooks,1742978,ASSOCIATE,America/New_York,2542,US
amitchell3742,1816587,ASSOCIATE,America/Detroit,3742,US
KLawson3777,1657442,ASSOCIATE,America/New_York,3777,US
4045asix,1813563,ASSOCIATE,America/New_York,4045,US
BSpinner4113,1717459,ASSOCIATE,America/New_York,4113,US
IPradhan1234,1319578,ASSOCIATE,America/New_York,4163,US
JOSHL4210,1317515,SHIFT_LDR,America/New_York,4210,US
sbroyles,1799227,ASSOCIATE,America/New_York,4295,US
onu8579,1161192,ASSISTANT_MGR,America/New_York,4296,US
4346arzell,1809925,ASSOCIATE,America/Detroit,4346,US
4563Doris,1326865,ASSOCIATE,America/New_York,4563,US
0585Hshinabarger,1711359,ASSOCIATE,America/Detroit,4645,US
AutumnMoore4696,1555469,ASSOCIATE,America/New_York,4696,US
4913,1821982,ASSOCIATE,America/Detroit,4913,US
CJDEVIL,258160,MUM,America/New_York,5231,US
FranklinMadison,1810427,ASSOCIATE,America/New_York,5232,US
DeweyF,1448860,ASSOCIATE,America/Detroit,5249,US
Geroldperkins,1795709,ASSOCIATE,America/New_York,5381,US
10881LJarjes,1005412,REST_MGR,America/Detroit,5432,US
davidjohnston,1721513,ASSOCIATE,America/Detroit,5631,US
SarahWie,1106593,REST_MGR,America/Detroit,5632,US
05649mgettings,1781250,ASSOCIATE,America/New_York,5649,US
11042Sossewaarde,1187747,REST_MGR,America/Detroit,5682,US
lexiwilding,1788559,ASSOCIATE,America/Detroit,5699,US
5700lwells,31817,MUM,America/Detroit,5700,US
5717HADKISON,1794338,ASSOCIATE,America/Detroit,5717,US
5750yazminm,323982,ASSOCIATE,America/New_York,5750,US
samfarr,1822808,ASSOCIATE,America/Detroit,6503,US
Banthony01,1587890,REST_MGR,America/New_York,6567,US
6568Casper,1805942,ASSOCIATE,America/New_York,6568,US
JenniRose,1568855,MUM,America/New_York,6636,US
